obtuse
dumb
silent
dense
dim
mute
speechless
slow
dull
retard
changeling
cretin
moron
half-wit
idiot
imbecile
whoreson
dump
son_of_a_bitch
horseshit
rat
defecate
tell_on
shucks
bull
diddlyshit
red_cent
dirt
give_away
tinker's_damn
doodly-squat
mother_fucker
darn
stag
jack
tinker's_dam
grass
shite
diddly
diddley
motherfucker
dickhead
betray
turd
diddly-squat
diddly-shit
prick
denounce
shit
Irish_bull
stool
bullshit
bastard
shop
ca-ca
diddlysquat
take_a_shit
cocksucker
dogshit
squat
crap
snitch
take_a_crap
hoot
make
SOB
damn
poop
asshole
fail
dice
croak
choke
become_flat
perish
kick_the_bucket
break_down
die
die_out
pall
expire
conk_out
decease
conk
drop_dead
give_out
give-up_the_ghost
cash_in_one's_chips
buy_the_farm
pass
go_bad
go
exit
give_way
break
pop_off
pass_away
snuff_it
